,lic_num,period
2410,2919,2016-12-08
2409,507-Ê,2016-12-08
2413,2299,2016-12-05
2414,3439,2016-12-05
2415,2849,2016-11-04
2411,1574,2016-10-06
2403,3204,2016-09-13
2405,1971,2016-08-22
2404,2813,2016-08-22
2407,1928,2016-08-18
2406,2632,2016-08-18
2408,1139,2016-08-16
2412,1053,2016-08-06
0,2412,2015-12-08
1,3054,2015-11-09
2,684,2015-11-02
3,2377,2015-10-26
4,1679,2015-10-23
5,1777,2015-10-23
6,2711,2015-10-23
7,1003,2015-10-16
8,2668,2015-10-16
9,2923,2015-10-16
10,1835,2015-10-07
11,854,2015-10-07
12,1956,2015-10-06
13,2050,2015-10-06
14,2253,2015-10-06
15,3383-Ê,2015-10-06
16,2337,2015-09-24
17,3115,2015-09-24
18,2712,2015-09-18
19,1060,2015-08-27
20,2902,2015-08-27
21,142,2015-08-21
22,2866-Ê,2015-08-21
23,1121,2015-08-09
24,3234,2015-08-09
25,2382,2015-07-27
26,3036,2015-07-24
27,324,2015-07-24
28,948,2015-07-24
29,3526-Ä,2015-07-23
30,2626,2015-07-21
31,3120,2015-07-21
32,790,2015-07-17
33,3459,2015-07-07
34,3267,2015-06-24
35,3440,2015-06-24
36,1088,2015-06-22
37,3154,2015-06-19
38,637,2015-06-19
39,1605,2015-06-16
40,1776,2015-06-15
41,1598,2015-06-10
42,2074,2015-06-10
43,3128,2015-06-10
44,3513-Ê,2015-06-03
45,1002,2015-05-20
46,2471,2015-05-20
47,3174,2015-05-20
48,2071,2015-05-13
49,2741,2015-05-13
50,3050,2015-05-13
51,3187,2015-04-24
52,655,2015-04-24
53,1734,2015-04-17
54,3491,2015-04-17
55,1378,2015-04-13
56,2108,2015-04-13
57,2794,2015-04-13
58,825,2015-04-09
59,2330,2015-03-24
60,3286,2015-03-24
61,1239-Ä,2015-03-08
62,2617,2015-03-08
63,3049,2015-03-08
64,3319-Ð,2015-03-08
65,1988,2015-03-07
66,2324,2015-03-07
67,2657,2015-03-07
68,606,2015-03-07
69,1415,2015-03-02
70,2999,2015-02-16
71,1946,2015-02-11
72,2992,2015-02-11
73,3229,2015-02-11
74,3503,2015-02-11
75,1043,2015-02-04
76,1951,2015-02-04
77,1222,2015-01-29
78,622,2015-01-29
79,2232,2015-01-20
80,2706,2015-01-20
81,1134,2015-01-15
82,2548,2015-01-06
83,2734,2015-01-06
84,385,2015-01-06
85,1616,2014-12-31
86,1153,2014-12-30
87,2652,2014-12-19
88,917,2014-12-19
89,1950,2014-11-28
90,1684,2014-11-26
91,2922,2014-11-26
92,625,2014-11-26
93,1943,2014-11-11
94,3449,2014-11-11
95,653,2014-11-11
96,3308-Ê,2014-11-09
97,3404,2014-11-09
98,3326-Ð,2014-11-07
99,3385,2014-11-07
100,2699,2014-11-02
101,2968,2014-11-02
102,3322-Ð,2014-10-27
103,3400-Ê,2014-10-27
104,3496-Ê,2014-10-27
105,1035,2014-10-16
106,3521-Ê,2014-10-16
107,709,2014-10-16
108,1250,2014-10-12
109,1282,2014-10-12
110,3381-K,2014-10-12
111,1991,2014-09-30
112,2965,2014-09-30
113,3135,2014-09-30
114,1244,2014-09-22
115,3062,2014-09-22
116,3317-Ð,2014-09-22
117,2227,2014-09-16
118,3144,2014-09-16
119,1617,2014-09-10
120,2401,2014-09-10
121,2903,2014-09-10
122,2865,2014-09-01
123,184,2014-08-28
124,2462,2014-08-28
125,3471,2014-08-28
126,2011,2014-08-18
127,2779,2014-08-18
128,3487-Ê,2014-08-18
129,2264,2014-08-08
130,2843,2014-08-08
131,286,2014-08-08
132,2586,2014-07-25
133,3105,2014-07-25
